inspection_date,results,latitude,longitude,location
5/28/2013,pass,41.88199434,-87.63975868,"(41.88199433820508, -87.6397586848809)"
5/28/2013,pass,41.88418751,-87.64111967,"(41.884187507127805, -87.64111966683218)"
5/28/2013,fail,41.89020779,-87.63094084,"(41.89020779260571, -87.63094084169998)"
5/28/2013,fail,41.89020779,-87.63094084,"(41.89020779260571, -87.63094084169998)"
5/28/2013,pass,41.89020779,-87.63094084,"(41.89020779260571, -87.63094084169998)"
5/28/2013,pass,41.89071448,-87.62426987,"(41.89071448025997, -87.6242698742923)"
5/28/2013,fail,41.89209414,-87.61156988,"(41.892094136861786, -87.61156988394656)"
5/28/2013,fail,41.89209414,-87.61156988,"(41.892094136861786, -87.61156988394656)"
5/28/2013,fail,41.89224916,-87.60951805,"(41.892249163400116, -87.60951804879336)"
5/28/2013,pass,41.89224916,-87.60951805,"(41.892249163400116, -87.60951804879336)"
5/28/2013,pass,41.89370033,-87.63132562,"(41.893700327406926, -87.63132561861225)"
5/28/2013,pass,41.89549939,-87.66123955,"(41.89549938710551, -87.66123954719983)"
5/28/2013,pass,41.89557001,-87.71637707,"(41.89557001005748, -87.71637706926153)"
5/28/2013,pass,41.90282133,-87.6961433,"(41.90282132997605, -87.69614329943664)"
5/28/2013,pass,41.90319053,-87.67029009,"(41.90319053056459, -87.67029008677447)"
5/28/2013,pass,41.90684338,-87.68304259,"(41.90684337935026, -87.68304259157036)"
5/28/2013,fail,41.90942295,-87.77073265,"(41.90942295171615, -87.77073264988142)"
5/28/2013,pass,41.90950588,-87.76404832,"(41.90950587551232, -87.76404831827487)"
5/28/2013,pass,41.91024031,-87.6852601,"(41.910240306548566, -87.68526009627907)"
5/28/2013,pass,41.91030128,-87.64887891,"(41.910301282773744, -87.6488789122808)"
5/28/2013,pass,41.91039632,-87.64901127,"(41.91039632151695, -87.64901126699499)"
5/28/2013,pass,41.91105208,-87.63393075,"(41.91105208254684, -87.63393075255847)"
5/28/2013,pass,41.91170438,-87.64814712,"(41.9117043820104, -87.64814711684095)"
5/28/2013,pass,41.91364779,-87.65292395,"(41.913647790626385, -87.6529239488956)"
5/28/2013,pass,41.91764283,-87.69216996,"(41.91764282646204, -87.6921699562562)"
5/28/2013,fail,41.92413929,-87.76207927,"(41.92413929105782, -87.76207926510894)"
5/28/2013,pass,41.92611888,-87.64949251,"(41.92611887572662, -87.64949250846801)"
5/28/2013,pass,41.9409191,-87.66968717,"(41.94091910339643, -87.66968716962634)"
5/28/2013,fail,41.94344291,-87.64951705,"(41.94344291172199, -87.64951705356305)"
5/28/2013,fail,41.94404899,-87.6640816,"(41.944048994530185, -87.66408160162322)"
5/28/2013,pass,41.94513284,-87.65467699,"(41.945132844962394, -87.65467699204385)"
5/28/2013,pass,41.94615335,-87.73615554,"(41.946153347247, -87.736155542106)"
5/28/2013,fail,41.94720549,-87.64702665,"(41.94720549468551, -87.64702664696026)"
5/28/2013,pass,41.94732166,-87.67871173,"(41.94732166015366, -87.67871173244984)"
5/28/2013,pass,41.94924586,-87.76701801,"(41.94924585951233, -87.76701801314188)"
5/28/2013,fail,41.95310073,-87.76465693,"(41.95310072916454, -87.76465692606169)"
5/28/2013,pass,41.95419358,-87.68367527,"(41.95419358467083, -87.68367526952493)"
5/28/2013,pass,41.96714374,-87.67899333,"(41.96714373617562, -87.67899332559362)"
5/28/2013,pass,41.970178,-87.65984901,"(41.970177996889234, -87.65984900729137)"
5/28/2013,pass,41.97385029,-87.65965358,"(41.97385028949588, -87.65965358195697)"
5/28/2013,pass,41.97704127,-87.75442839,"(41.97704126868173, -87.75442838864393)"
5/28/2013,fail,41.98373477,-87.65988782,"(41.98373476698546, -87.65988782352466)"
5/28/2013,pass,41.99777365,-87.6937767,"(41.99777364797605, -87.69377670452054)"
5/28/2013,pass,42.00833901,-87.69030024,"(42.00833901006407, -87.69030024281686)"
5/24/2013,fail,41.70261285,-87.53326501,"(41.70261285302715, -87.53326501440729)"
5/24/2013,pass,41.7159162,-87.53513061,"(41.715916201716006, -87.53513061238303)"
5/24/2013,pass,41.71868264,-87.68184758,"(41.71868263931775, -87.68184758141176)"
5/24/2013,fail,41.72814213,-87.55105705,"(41.72814212801288, -87.55105705082681)"
5/24/2013,pass,41.73204914,-87.5856895,"(41.73204913540182, -87.585689498895)"
5/24/2013,pass,41.73312627,-87.55147733,"(41.733126274660215, -87.55147733331737)"
5/24/2013,pass,41.73528913,-87.70258107,"(41.7352891275082, -87.7025810676121)"
5/24/2013,pass,41.75062728,-87.61480841,"(41.750627276361044, -87.61480841419184)"
5/24/2013,pass,41.75132826,-87.59056098,"(41.75132825596118, -87.59056097539076)"
5/24/2013,fail,41.75970439,-87.65383153,"(41.75970438569175, -87.65383153233266)"
5/24/2013,fail,41.76469612,-87.67359278,"(41.76469612104134, -87.67359278470066)"
5/24/2013,pass,41.77390682,-87.6970673,"(41.77390682027161, -87.69706729861691)"
5/24/2013,fail,41.77806052,-87.63164179,"(41.77806052381353, -87.63164178930201)"
5/24/2013,pass,41.78369232,-87.62047804,"(41.78369231740029, -87.62047803994638)"
5/24/2013,pass,41.7858403,-87.59906822,"(41.7858403021095, -87.59906822381724)"
5/24/2013,pass,41.78624678,-87.71043107,"(41.78624677993347, -87.7104310729898)"
5/24/2013,pass,41.78629601,-87.69365183,"(41.78629601441044, -87.69365182602883)"
5/24/2013,pass,41.78942347,-87.60005953,"(41.789423468509305, -87.60005953245002)"
5/24/2013,pass,41.79408776,-87.60151032,"(41.794087759777064, -87.60151031694893)"
5/24/2013,pass,41.83466629,-87.63441435,"(41.83466629416884, -87.63441435073965)"
5/24/2013,pass,41.83674996,-87.72613266,"(41.83674996075794, -87.72613265682901)"
5/24/2013,pass,41.83697598,-87.72420568,"(41.836975983118364, -87.72420568070659)"
5/24/2013,pass,41.84804402,-87.68293718,"(41.8480440204021, -87.68293718057815)"
5/24/2013,pass,41.86468124,-87.64636586,"(41.864681242184645, -87.64636585589753)"
5/24/2013,pass,41.86569011,-87.76538911,"(41.86569010704542, -87.76538911467928)"
5/24/2013,pass,41.86615081,-87.71852063,"(41.86615080575098, -87.71852063495605)"
5/24/2013,pass,41.87119309,-87.70078311,"(41.87119309043195, -87.70078310733787)"
5/24/2013,pass,41.88173636,-87.74274788,"(41.88173636270188, -87.74274787656975)"
5/24/2013,pass,41.88562909,-87.63558691,"(41.885629086646105, -87.63558691270177)"
5/24/2013,pass,41.88928666,-87.7049885,"(41.8892866576457, -87.70498849654948)"
5/24/2013,pass,41.8955931,-87.62658249,"(41.89559309764492, -87.62658248687725)"
5/24/2013,pass,41.89986912,-87.66419014,"(41.89986912220878, -87.66419013744262)"
5/24/2013,pass,41.90128364,-87.66348362,"(41.90128364339324, -87.66348362488465)"
5/24/2013,pass,41.90156597,-87.70689641,"(41.90156596775891, -87.70689641339472)"
5/24/2013,pass,41.90175626,-87.75071295,"(41.901756264831086, -87.75071294711414)"
5/24/2013,pass,41.90258387,-87.72361925,"(41.902583873870306, -87.72361924848285)"
5/24/2013,pass,41.90258387,-87.72361925,"(41.902583873870306, -87.72361924848285)"
5/24/2013,pass,41.90258387,-87.72361925,"(41.902583873870306, -87.72361924848285)"
5/24/2013,pass,41.90654684,-87.71023279,"(41.906546839888, -87.71023278575913)"
5/24/2013,pass,41.9089214,-87.6775678,"(41.90892140028331, -87.67756779552343)"
5/24/2013,pass,41.91518608,-87.67771083,"(41.915186075251704, -87.67771082988949)"
5/24/2013,fail,41.917,-87.73098926,"(41.9170000027784, -87.73098926451316)"
5/24/2013,pass,41.91706037,-87.74456826,"(41.91706036515776, -87.74456825581792)"
5/24/2013,pass,41.91726718,-87.727264,"(41.91726717672642, -87.72726399727456)"
5/24/2013,fail,41.92157698,-87.65672652,"(41.92157698377766, -87.65672651542604)"
5/24/2013,pass,41.93149805,-87.75738202,"(41.93149804730922, -87.75738202142212)"
5/24/2013,fail,41.93217875,-87.64884537,"(41.93217875319461, -87.6488453709766)"
5/24/2013,fail,41.93347108,-87.71438889,"(41.93347107979743, -87.71438889069681)"
5/24/2013,pass,41.94242497,-87.80705285,"(41.9424249705119, -87.80705284967007)"
5/24/2013,fail,41.94555069,-87.64904996,"(41.94555069309664, -87.6490499606871)"
5/24/2013,pass,41.94576043,-87.64929324,"(41.94576042790614, -87.6492932437005)"
5/24/2013,pass,41.94938962,-87.80700291,"(41.94938961660852, -87.80700291252472)"
5/24/2013,pass,41.9523095,-87.80739896,"(41.95230949839922, -87.80739896000573)"
5/24/2013,pass,41.95383013,-87.70480536,"(41.95383012655138, -87.70480535927285)"
5/24/2013,pass,41.95423658,-87.66486474,"(41.95423657765484, -87.66486474017243)"
5/24/2013,pass,41.96132305,-87.70443989,"(41.96132304533024, -87.70443989122323)"
5/24/2013,pass,41.96427236,-87.68554257,"(41.96427235567267, -87.68554256570745)"
5/24/2013,pass,41.96497072,-87.66115881,"(41.964970720425164, -87.66115880976733)"
5/24/2013,pass,41.96519582,-87.66116364,"(41.96519582477591, -87.66116364060525)"
5/24/2013,pass,41.96601388,-87.65770297,"(41.96601387640046, -87.65770296976089)"
5/24/2013,fail,41.9682141,-87.72055459,"(41.968214104451754, -87.72055458771356)"
5/24/2013,pass,41.96823261,-87.71865106,"(41.96823261185367, -87.7186510600225)"
5/24/2013,pass,41.97080643,-87.65957208,"(41.97080642960141, -87.65957208352962)"
5/24/2013,pass,41.98354261,-87.65842915,"(41.983542609997954, -87.65842914502518)"
5/24/2013,pass,41.99258749,-87.68986215,"(41.99258748774938, -87.6898621543762)"
5/24/2013,pass,41.99368669,-87.71296649,"(41.99368669251754, -87.71296649138158)"
5/24/2013,fail,41.99799346,-87.66842789,"(41.99799345967903, -87.66842788571333)"
5/24/2013,pass,42.00776254,-87.66796736,"(42.00776253859794, -87.66796736223017)"
5/24/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/24/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/24/2013,pass,42.00853954,-87.69050051,"(42.00853953880006, -87.69050051086757)"
5/24/2013,pass,42.01196173,-87.69986788,"(42.01196173188842, -87.69986787778176)"
5/23/2013,pass,41.69113262,-87.62088499,"(41.69113261954646, -87.6208849886538)"
5/23/2013,pass,41.70550648,-87.53513945,"(41.70550648249998, -87.53513945323924)"
5/23/2013,pass,41.72273269,-87.54453083,"(41.72273269460603, -87.5445308299031)"
5/23/2013,pass,41.73019854,-87.55020648,"(41.73019853835297, -87.55020647842605)"
5/23/2013,pass,41.73953307,-87.58585189,"(41.739533074226856, -87.58585188835282)"
5/23/2013,pass,41.74226463,-87.60483675,"(41.742264630727, -87.60483675201563)"
5/23/2013,fail,41.7472406,-87.58602519,"(41.74724060201805, -87.5860251882879)"
5/23/2013,pass,41.75054754,-87.64304964,"(41.7505475390532, -87.64304964252435)"
5/23/2013,pass,41.75154486,-87.60535958,"(41.751544857570615, -87.60535957720917)"
5/23/2013,pass,41.75825081,-87.61779767,"(41.7582508065721, -87.61779767256007)"
5/23/2013,pass,41.76836584,-87.68830091,"(41.768365835791016, -87.68830090772079)"
5/23/2013,pass,41.77207193,-87.68443742,"(41.77207193490438, -87.68443742214527)"
5/23/2013,pass,41.77866865,-87.73115965,"(41.77866865107635, -87.73115964657633)"
5/23/2013,pass,41.77922453,-87.69345644,"(41.77922453238674, -87.69345644103268)"
5/23/2013,pass,41.77928099,-87.68967949,"(41.779280990198004, -87.68967948643505)"
5/23/2013,pass,41.7800955,-87.77050397,"(41.78009549934069, -87.77050397290529)"
5/23/2013,fail,41.78076117,-87.7714585,"(41.78076116683552, -87.77145850210383)"
5/23/2013,pass,41.78257056,-87.66414891,"(41.78257055986688, -87.66414890987468)"
5/23/2013,pass,41.78697868,-87.6558418,"(41.786978677373725, -87.6558418005699)"
5/23/2013,pass,41.79095528,-87.62545913,"(41.79095527955166, -87.62545913490624)"
5/23/2013,pass,41.79095528,-87.62545913,"(41.79095527955166, -87.62545913490624)"
5/23/2013,pass,41.79161998,-87.59018904,"(41.79161998052027, -87.59018904172939)"
5/23/2013,pass,41.79209438,-87.78906761,"(41.79209438277045, -87.78906760858516)"
5/23/2013,pass,41.79319535,-87.71629125,"(41.79319534978297, -87.71629124569444)"
5/23/2013,pass,41.79392295,-87.80144211,"(41.79392294638772, -87.80144211165198)"
5/23/2013,pass,41.79929834,-87.60093236,"(41.79929834268655, -87.60093236257606)"
5/23/2013,pass,41.80234132,-87.58937244,"(41.802341317012115, -87.58937243573278)"
5/23/2013,pass,41.80822254,-87.70462535,"(41.80822253794927, -87.70462535078724)"
5/23/2013,fail,41.81774274,-87.66533501,"(41.8177427370255, -87.66533501233407)"
5/23/2013,pass,41.82406978,-87.66572068,"(41.82406978433046, -87.66572067685202)"
5/23/2013,pass,41.83052892,-87.67270374,"(41.83052891633114, -87.67270373934203)"
5/23/2013,pass,41.8351754,-87.72323343,"(41.835175396604946, -87.72323343264941)"
5/23/2013,pass,41.83692247,-87.71595347,"(41.8369224667114, -87.71595346914313)"
5/23/2013,pass,41.84676661,-87.61717578,"(41.8467666109193, -87.61717577754973)"
5/23/2013,pass,41.85202569,-87.67841224,"(41.85202569181507, -87.67841224334326)"
5/23/2013,pass,41.85771616,-87.66439496,"(41.85771616298304, -87.66439496218744)"
5/23/2013,pass,41.8649426,-87.72527877,"(41.86494259874437, -87.72527876693545)"
5/23/2013,pass,41.87783014,-87.64773606,"(41.87783013580039, -87.64773606109019)"
5/23/2013,pass,41.87800606,-87.63402203,"(41.87800606262711, -87.63402203216754)"
5/23/2013,pass,41.88157109,-87.65313284,"(41.881571094035266, -87.65313284498924)"
5/23/2013,pass,41.88157109,-87.65313284,"(41.881571094035266, -87.65313284498924)"
5/23/2013,fail,41.88317183,-87.6521331,"(41.88317183484875, -87.65213310038212)"
5/23/2013,pass,41.89151604,-87.63097642,"(41.89151603889098, -87.63097642048605)"
5/23/2013,pass,41.89151604,-87.63097642,"(41.89151603889098, -87.63097642048605)"
5/23/2013,pass,41.89151604,-87.63097642,"(41.89151603889098, -87.63097642048605)"
5/23/2013,pass,41.89209414,-87.61156988,"(41.892094136861786, -87.61156988394656)"
5/23/2013,fail,41.89337518,-87.63396812,"(41.89337518175341, -87.63396812282176)"
5/23/2013,fail,41.89427722,-87.63725825,"(41.894277224762554, -87.63725825318113)"
5/23/2013,pass,41.89488384,-87.74699285,"(41.89488384415412, -87.74699285447983)"
5/23/2013,pass,41.89497648,-87.76366054,"(41.894976480682615, -87.76366053973348)"
